"Marca temporal","¿Cuál es tu rango de edad?","¿Con qué género te identificas?","¿Cuál es tu situación laboral actual?","¿Qué dispositivos tecnológicos usas con frecuencia?","¿Cuáles son tus principales actividades en internet?","¿Cuál es tu principal medio para conectarte a internet?","¿Qué valoras más en un servicio de telecomunicaciones?","¿Qué marcas de tecnología prefieres?  ","¿Cómo te defines en tu estilo de vida?"
"2025/04/16 4:51:06 p.m. GMT-5","36-50 años","Masculino","Empleado/a de empresa privada","Smartphone","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio","Datos móviles (celular)","Velocidad de conexión","Samsung","Social/conectado con amigos y familia"
"2025/04/16 4:52:15 p.m. GMT-5","18-25 años","Femenino","Estudiante","Smartphone;Laptop","Trabajo/Estudio;Entretenimiento (streaming, videos, música);Juegos en línea","Wi-Fi en casa","Precios bajos","Samsung","Práctico/busca lo esencial"
"2025/04/16 4:55:21 p.m. GMT-5","26-35 años","Femenino","Dueño/a de negocio","Smartphone;Laptop;Tablet","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio","Datos móviles (celular)","Velocidad de conexión","Apple","Ahorrador/consciente de gastos"
"2025/04/16 5:53:23 p.m. GMT-5","Más de 50 años","Masculino","Trabajador/a independiente","Smartphone","Trabajo/Estudio","Wi-Fi en casa","Atención al cliente","Samsung","Práctico/busca lo esencial"
"2025/04/16 6:01:33 p.m. GMT-5","Más de 50 años","Femenino","Empleado/a público","Smartphone","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música)","Datos móviles (celular)","Velocidad de conexión","Huawei","Social/conectado con amigos y familia"
"2025/04/16 6:10:32 p.m. GMT-5","18-25 años","Femenino","Estudiante","Smartphone;Laptop;Smart TV","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música);Compras online;Juegos en línea","Datos móviles (celular)","Velocidad de conexión","Samsung","Práctico/busca lo esencial"
"2025/04/16 6:14:37 p.m. GMT-5","Más de 50 años","Masculino","Empleado/a de empresa privada","Smartphone;Laptop;Smart TV","Trabajo/Estudio","Wi-Fi en casa","Velocidad de conexión","Apple","Ahorrador/consciente de gastos"
"2025/04/16 6:23:26 p.m. GMT-5","18-25 años","Femenino","Estudiante","Smartphone","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio","Datos móviles (celular)","Velocidad de conexión","Samsung","Tecnológico/adicto a las novedades"
"2025/04/16 6:26:20 p.m. GMT-5","36-50 años","Masculino","Trabajador/a independiente","Smartphone","Redes sociales (Instagram, TikTok, etc.)","Datos móviles (celular)","Velocidad de conexión","Apple","Tecnológico/adicto a las novedades"
"2025/04/16 6:27:48 p.m. GMT-5","18-25 años","Masculino","Estudiante","Smartphone;Laptop","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Juegos en línea","Wi-Fi en casa","Velocidad de conexión","Samsung","Práctico/busca lo esencial"
"2025/04/17 10:40:18 a.m. GMT-5","26-35 años","Masculino","Empleado/a de empresa privada","Smartphone;Laptop;Smart TV","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música);Juegos en línea","Wi-Fi en casa","Velocidad de conexión","Apple","Ahorrador/consciente de gastos"
"2025/04/17 10:41:23 a.m. GMT-5","18-25 años","Femenino","Estudiante","Smartphone;Laptop","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música)","Wi-Fi en casa","Velocidad de conexión","Samsung","Práctico/busca lo esencial"
"2025/04/17 10:42:16 a.m. GMT-5","36-50 años","Masculino","Empleado/a público","Smartphone;Laptop","Trabajo/Estudio;Entretenimiento (streaming, videos, música)","Datos móviles (celular)","Velocidad de conexión","Motorola ","Práctico/busca lo esencial"
"2025/04/17 10:42:33 a.m. GMT-5","18-25 años","Masculino","Estudiante","Smartphone","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música);Juegos en línea","Wi-Fi en casa","Velocidad de conexión","Samsung","Práctico/busca lo esencial"
"2025/04/17 10:43:07 a.m. GMT-5","18-25 años","Masculino","Estudiante","Smartphone;Laptop","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música);Juegos en línea","Datos móviles (celular)","Velocidad de conexión","Samsung","Práctico/busca lo esencial"
"2025/04/17 10:43:28 a.m. GMT-5","18-25 años","Masculino","Estudiante","Smartphone;Laptop","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música)","Wi-Fi en casa","Velocidad de conexión","Xiaomi","Ahorrador/consciente de gastos"
"2025/04/17 10:44:11 a.m. GMT-5","18-25 años","Masculino","Empleado/a de empresa privada","Smartphone;Laptop;Smart TV","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música);Juegos en línea","Wi-Fi en casa","Precios bajos","Samsung","Tecnológico/adicto a las novedades"
"2025/04/17 10:44:43 a.m. GMT-5","18-25 años","Masculino","Empleado/a de empresa privada","Smartphone;Laptop;Smart TV","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio","Wi-Fi en casa","Promociones o beneficios adicionales","Xiaomi","Práctico/busca lo esencial"
"2025/04/17 10:50:59 a.m. GMT-5","18-25 años","Masculino","Empleado/a de empresa privada","Smartphone;Laptop","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música)","Wi-Fi en casa","Velocidad de conexión","Xiaomi","Tecnológico/adicto a las novedades"
"2025/04/17 10:52:22 a.m. GMT-5","18-25 años","Masculino","Trabajador/a independiente","Smartphone;Laptop","Redes sociales (Instagram, TikTok, etc.);Compras online","Wi-Fi en casa","Velocidad de conexión","Xiaomi","Práctico/busca lo esencial"
"2025/04/17 10:55:12 a.m. GMT-5","18-25 años","Femenino","Estudiante","Smartphone;Laptop;Smart TV","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música)","Wi-Fi en casa","Velocidad de conexión","Xiaomi","Práctico/busca lo esencial"
"2025/04/17 10:58:12 a.m. GMT-5","18-25 años","Masculino","Empleado/a de empresa privada","Smartphone;Laptop","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio","Internet de trabajo/centro de estudios","Velocidad de conexión","Redmi","Práctico/busca lo esencial"
"2025/04/17 11:02:35 a.m. GMT-5","Más de 50 años","Femenino","Empleado/a de empresa privada","Laptop;Smart TV","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música);Compras online","Wi-Fi en casa","Velocidad de conexión","Huawei","Práctico/busca lo esencial"
"2025/04/17 11:06:15 a.m. GMT-5","36-50 años","Masculino","Empleado/a de empresa privada","Smartphone;Laptop;Smart TV;PC","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música);Compras online;Juegos en línea","Datos móviles (celular)","Promociones o beneficios adicionales","Samsung","Tecnológico/adicto a las novedades"
"2025/04/17 11:12:18 a.m. GMT-5","Más de 50 años","Masculino","Empleado/a de empresa privada","Smartphone;Laptop;Smart TV","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música);Compras online","Datos/WiFi casa","Velocidad de conexión","Motorola ","Tecnológico/adicto a las novedades"
"2025/04/17 11:18:08 a.m. GMT-5","18-25 años","Masculino","Desempleado/a","Smartphone;Laptop;Smart TV;Consola de videojuegos","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música)","Wi-Fi en casa","Velocidad de conexión","Apple","Ahorrador/consciente de gastos"
"2025/04/17 11:27:50 a.m. GMT-5","18-25 años","Masculino","Estudiante","Smartphone;Laptop;Tablet;Consola de videojuegos","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música);Juegos en línea","Wi-Fi en casa","Precios bajos","Google","Tecnológico/adicto a las novedades"
"2025/04/17 11:48:31 a.m. GMT-5","36-50 años","Femenino","Ama de casa ","Smartphone","Redes sociales (Instagram, TikTok, etc.);Entretenimiento (streaming, videos, música);Juegos en línea","Datos móviles (celular)","Precios bajos","Motorola ","Práctico/busca lo esencial"
"2025/04/17 12:16:49 p.m. GMT-5","18-25 años","Masculino","Estudiante","Smartphone","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música)","Datos móviles (celular)","Velocidad de conexión","Samsung","Práctico/busca lo esencial"
"2025/04/17 12:17:22 p.m. GMT-5","36-50 años","Masculino","Empleado/a de empresa privada","Smartphone;Laptop;Smart TV","Trabajo/Estudio;Entretenimiento (streaming, videos, música);Juegos en línea","Wi-Fi en casa","Velocidad de conexión","Google","Tecnológico/adicto a las novedades"
"2025/04/17 12:20:14 p.m. GMT-5","Más de 50 años","Femenino","Desempleado/a","Smart TV","Entretenimiento (streaming, videos, música)","Wi-Fi público","Velocidad de conexión","Samsung","Práctico/busca lo esencial"
"2025/04/17 12:21:32 p.m. GMT-5","Más de 50 años","Femenino","Ama de casa","Smartphone","Redes sociales (Instagram, TikTok, etc.)","Wi-Fi en casa","Precios bajos","Motorola","Práctico/busca lo esencial"
"2025/04/17 12:25:52 p.m. GMT-5","26-35 años","Masculino","Empleado/a de empresa privada","Smartphone;Laptop;PC de escritorio","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música);Compras online;Juegos en línea","Wi-Fi en casa","Velocidad de conexión","Xiaomi","Tecnológico/adicto a las novedades"
"2025/04/17 1:11:33 p.m. GMT-5","26-35 años","Masculino","Trabajador/a independiente","Smartphone;Consola de videojuegos;PC","Redes sociales (Instagram, TikTok, etc.);Entretenimiento (streaming, videos, música);Compras online;Juegos en línea","Wi-Fi en casa","Precios bajos","Apple","Tecnológico/adicto a las novedades"
"2025/04/17 1:26:59 p.m. GMT-5","26-35 años","Femenino","Estudiante","Smartphone;Laptop;Smart TV;Consola de videojuegos","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Juegos en línea","Wi-Fi en casa","Velocidad de conexión","Samsung","Práctico/busca lo esencial"
"2025/04/17 2:26:56 p.m. GMT-5","18-25 años","Masculino","Empleado/a público","Smartphone;Laptop;Smart TV;Consola de videojuegos","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música);Compras online;Juegos en línea","Datos móviles (celular)","Velocidad de conexión","Huawei","Tecnológico/adicto a las novedades"
"2025/04/17 3:19:10 p.m. GMT-5","18-25 años","Masculino","Estudiante","Smartphone;Laptop;Smart TV","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música)","Datos móviles (celular)","Promociones o beneficios adicionales","Samsung","Ahorrador/consciente de gastos"
"2025/04/17 5:15:28 p.m. GMT-5","18-25 años","Masculino","Desempleado/a","Smartphone;Laptop;Tablet","Trabajo/Estudio;Compras online;Juegos en línea","Wi-Fi en casa","Velocidad de conexión","Huawei","Tecnológico/adicto a las novedades"
"2025/04/17 5:32:17 p.m. GMT-5","18-25 años","Femenino","Estudiante","Smartphone;Laptop;Smart TV","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música);Compras online;Juegos en línea","Wi-Fi en casa","Velocidad de conexión","Motorola","Tecnológico/adicto a las novedades"
"2025/04/17 6:31:50 p.m. GMT-5","18-25 años","Femenino","Estudiante","Laptop","Redes sociales (Instagram, TikTok, etc.)","Wi-Fi en casa","Velocidad de conexión","Samsung","Práctico/busca lo esencial"
"2025/04/17 7:31:14 p.m. GMT-5","36-50 años","Masculino","Empleado/a de empresa privada","Smartphone","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música)","Wi-Fi en casa","Atención al cliente","Samsung","Social/conectado con amigos y familia"
"2025/04/17 7:35:37 p.m. GMT-5","18-25 años","Masculino","Estudiante","Smartphone;Laptop","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música);Juegos en línea","Wi-Fi en casa","Velocidad de conexión","Samsung","Práctico/busca lo esencial"
"2025/04/17 7:48:23 p.m. GMT-5","Menos de 18 años","Masculino","Estudiante","Smartphone;Smart TV;Consola de videojuegos;Pc","Trabajo/Estudio;Entretenimiento (streaming, videos, música);Juegos en línea","Wi-Fi en casa","Velocidad de conexión","Samsung","Práctico/busca lo esencial"
"2025/04/17 8:39:35 p.m. GMT-5","18-25 años","Femenino","Estudiante","Smartphone;Laptop;Smart TV;Consola de videojuegos","Redes sociales (Instagram, TikTok, etc.);Entretenimiento (streaming, videos, música)","Wi-Fi en casa","Velocidad de conexión","Apple","Tecnológico/adicto a las novedades"
"2025/04/17 8:47:31 p.m. GMT-5","26-35 años","Masculino","Empleado/a público","Smartphone;Laptop;Smart TV;Consola de videojuegos","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música);Compras online;Juegos en línea","Datos móviles (celular)","Velocidad de conexión","Samsung","Tecnológico/adicto a las novedades"